FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA CABEZA/ACC INT PLUS 14 X 2.1/2;N/A
Tornillos;"1 1/8-16;"1 1/8-16 x 3.810"" MeriTORNILLO";N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 1.3/8-8;N/A
Otros;"9/16-18 x;"9/16-18 x 1 3/8"" Jhon Deere";N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 5/32 X 1/2;N/A
Pijas;PIJA FIJAD;PIJA FIJAD P/BROCA 8 X 1;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA INTERIOR 1/4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-8 X 7;N/A
Otros;"1 1/8-16;"1 1/8-16 x 3.593"" Remolque Fruehauf";N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 5/32 X 3;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M12-1.75 X 40;N/A
Tuercas;"TUERCA HEX;"TUERCA HEX GR-2 NEGRA 3"" -4";N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 6 X 1.1/4;N/A
Varillas;VARILLA ACME-LARGO;VARILLA ACME-LARGO 1 MT 1-1/8-4;N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 2.1/2-8;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 1/2-13;N/A
Otros;81 CASQUILLO;81 CASQUILLO 5/16-18 NC x 3/8-24 NF;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/4-20 X 5;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL P/BROCA CABEZA/ACC INT EMP 14 X 3/4 GALAXY;N/A
Otros;"3/4-16x3.656"" KENWORH,;"3/4-16x3.656"" KENWORH, MASA, RIN ALUMINIO R. TRASERA";N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 3/4-10 X 4.3/4;N/A
Pijas;PIJA P/FIBRO-CEMENTO;PIJA P/FIBRO-CEMENTO (DUROK) 8 X 1.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1-1/2-6 X 3.1/2;N/A
Otros;OPRESOR SOCKET;OPRESOR SOCKET PUNTA COPA MM;M3 x 3|M3 x 6|M3 x 8|M3 x 10|M3 x 12|M3 x 16|M3 x 20|M3 x 25|M3 x 30|M4 x 4|M4 x 6|M4 x 8|M4 x 10|M4 x 12|M4 x 16|M4 x 20|M4 x 25|M4 x 30|M4 x 35|M4 x 40|M5 x 6|M5 x 8|M5 x 10|M5 x 12|M5 x 16|M5 x 20|M5 x 25|M5 x 30|M5 x 35|M5 x 40|M5 x 50|M5 x 60|M6 x 6|M6 x 8|M6 x 10|M6 x 12|M6 x 16|M6 x 20|M6 x 25|M6 x 30|M6 x 35|M6 x 40|M6 x 45|M6 x 50|M6 x 60|M8 x 8|M8 x 10|M8 x 12|M8 x 16|M8 x 20|M8 x 25|M8 x 30|M8 x 35|M8 x 40|M8 x 45|M8 x 50|M8 x 60|M8 x 70|M8 x 80|M10 x 10|M10 x 12|M10 x 16|M10 x 20|M10 x 25|M10 x 30|M10 x 35|M10 x 40|M10 x 45|M10 x 50|M10 x 55|M10 x 60|M10 x 70 nuevo|M10 x 80|M12 x 12|M12 x 16|M12 x 20|M12 x 25|M12 x 30|M12 x 35|M12 x 40|M12 x 45|M12 x 50|M12 x 60|M12 x 70|M12 x 80|M14 x 16|M14 x 20|M14 x 25|M14 x 30|M14 x 50|M16 x 16|M16 x 20|M16 x 25|M16 x 30|M16 x 35|M16 x 40|M16 x 50|M20 x 25|M20 x 30|M20 x 40|M20 x 50|M20 x 60|M20 x 70|M20 x 80|M24 x 25|M24 x 30
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/16-14 X 4-1/2;N/A
Otros;Lente de;Lente de Seguridad AMBAR Handy;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 8 X 1/2;N/A
Otros;Bobina ignicion;Bobina ignicion VW Vento, Polo, Seat Leo, Audi A1 (UF691);N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/2-13 X 3/4;N/A
Otros;93CASQUILLO 8-1.25;93CASQUILLO 8-1.25 x 12-1.75 Largo;N/A
Otros;49 CASQUILLO;49 CASQUILLO 5/16 NC X 1/2 NC;N/A
Otros;"TAQUETE TX;"TAQUETE TX TROP GALAXY C 5/8 T 1/2-13 X 3.1/2"" LARGO";N/A
Otros;Bobina ignicion;Bobina ignicion Toyota Avanza, Rush (UF772);N/A
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/CILINDRO MM;M 3 x 6|M 3 x 8|M 3 x 10|M 3 x 12|M 3 x 16|M 3 x 20|M 3 x 25|M 3 x 30|M 3 x 35|M 3 x 40|M 3 x 45|M 4 x 6|M 4 x 8|M 4 x 10|M 4 x 12|M 4 x 14|M 4 x 16|M 4 x 20|M 4 x 25|M 4 x 30|M 4 x 35|M 4 x 40|M 4 x 45|M 4 x 50|M 4 x 60|M 4 x 70|M 5 x 6|M 5 x 8|M 5 x 10|M 5 x 12|M 5 x 14|M 5 x 16|M 5 x 18|M 5 x 20|M 5 x 25|M 5 x 30|M 5 x 35|M 5 x 40|M 5 x 45|M 5 x 50|M 5 x 55|M 5 x 60|M 5 x 65|M 5 x 70|M 5 x 80|M 5 x 90|M 5 x 100|M 5 x 110|M 5 x 120|M 5 x 130|M 5 x 140|M 5 x 150|M 6 x 10|M 6 x 12|M 6 x 14|M 6 x 16|M 6 x 20|M 6 x 25|M 6 x 30|M 6 x 35|M 6 x 40|M 6 x 45|M 6 x 50|M 6 x 55|M 6 x 60|M 6 x 65|M 6 x 70|M 6 x 75|M 6 x 80|M 6 x 90|M 6 x 100|M 6 x 110|M 6 x 120|M 6 x 130|M 6 x 140|M 6 x 150|M 8 x 10|M 8 x 12|M 8 x 16|M 8 x 20|M 8 x 25|M 8 x 30|M 8 x 35|M 8 x 40|M 8 x 45|M 8 x 50|M 8 x 55|M 8 x 60|M 8 x 65|M 8 x 70|M 8 x 75|M 8 x 80|M 8 x 85|M 8 x 90|M 8 x 100|M 8 x 110|M 8 x 120|M 8 x 130|M 8 x 140|M 8 x 150|M 8 x 160|M 8 x 180|M 8 x 200|M 10 x 12|M 10 x 16|M 10 x 20|M 10 x 25|M 10 x 30|M 10 x 35|M 10 x 40|M 10 x 45|M 10 x 50|M 10 x 55|M 10 x 60|M 10 x 65|M 10 x 70|M 10 x 75|M 10 x 80|M 10 x 90|M 10 x 100|M 10 x 110|M 10 x 120|M 10 x 130|M 10 x 140|M 10 x 150|M 10 x 160|M 10 x 180|M 10 x 200|M 12 x 20|M 12 x 25|M 12 x 30|M 12 x 35|M 12 x 40|M 12 x 45|M 12 x 50|M 12 x 55|M 12 x 60|M 12 x 65|M 12 x 70|M 12 x 75|M 12 x 80|M 12 x 90|M 12 x 100|M 12 x 110|M 12 x 120|M 12 x 130|M 12 x 140|M 12 x 150|M 12 x 160|M 12 x 180|M 12 x 200|M 14 x 25|M 14 x 30|M 14 x 35|M 14 x 40|M 14 x 45|M 14 x 50|M 14 x 55|M 14 x 60|M 14 x 65|M 14 x 70|M 14 x 80|M 14 x 90|M 14 x 100|M 14 x 110|M 14 x 120|M 14 x 130|M 14 x 140|M 14 x 150|M 14 x 160|M 14 x 180|M 14 x 200|M 16 X 20|M 16 X 25|M 16 x 30|M 16 x 35|M 16 x 40|M 16 x 45|M 16 x 50|M 16 x 55|M 16 x 60|M 16 x 65|M 16 x 70|M 16 x 75|M 16 x 80|M 16 x 90|M 16 x 100|M 16 x 110|M 16 x 120|M 16 x 130|M 16 x 140|M 16 x 150|M 16 x 160|M 16 x 170|M 16 x 180|M 16 x 190|M 16 x 200|M 18 x 30|M 18 x 35|M 18 x 40|M 18 x 45|M 18 x 50|M 18 x 55|M 18 x 60|M 18 x 65|M 18 x 70|M 18 x 75|M 18 x 80|M 18 x 90|M 18 x 100|M 18 x 110|M 18 x 120|M 18 x 130|M 18 x 140|M 18 x 150|M 18 x 160|M 18 x 180|M 18 x 200|M 20 x 35|M 20 x 40|M 20 x 45|M 20 x 50|M 20 x 55|M 20 x 60|M 20 x 65|M 20 x 70|M 20 x 75|M 20 x 80|M 20 x 90|M 20 x 100|M 20 x 110|M 20 x 120|M 20 x 130|M 20 x 140|M 20 x 150|M 20 x 160|M 20 x 180|M 20 x 200|M 20 x 220|M 20 x 230|M 20 x 240|M 20 x 250|M 20 x 260|M 20 x 270|M 20 x 280|M 20 x 300|M 22 x 40|M 22 x 45|M 22 x 50|M 22 x 55|M 22 x 60|M 22 x 65|M 22 x 70|M 22 x 80|M 22 x 90|M 22 x 100|M 22 x 110|M 22 x 120|M 22 x 130|M 22 x 140|M 22 x 150|M 22 x 180|M 22 x 200|M 24 x 40|M 24 x 45|M 24 x 50|M 24 x 55|M 24 x 60|M 24 x 65|M 24 x 70|M 24 x 75|M 24 x 80|M 24 x 85|M 24 x 90|M 24 x 100|M 24 x 110|M 24 x 120|M 24 x 130|M 24 x 140|M 24 x 150|M 24 x 160|M 24 x 180|M 24 x 200|M 24 x 220|M 24 x 230|M 24 x 240|M 24 x 250|M 24 x 260|M 24 x 270|M 24 x 280|M 24 x 300|M 30 x 60|M 30 x 70|M 30 x 80|M 30 x 90|M 30 x 100|M 30 x 110|M 30 x 120|M 30 x 130|M 30 x 140|M 30 x 150|M 30 x 160|M 30 x 180|M 30 x 200|M 30 x 220|M 30 x 230|M 30 x 240|M 30 x 250|M 30 x 270|M 30 x 300|M 36 x 70|M 36 x 80|M 36 x 90|M 36 x 100|M 36 x 110|M 36 x 120|M 36 x 130|M 36 x 140|M 36 x 150|M 36 x 160|M 36 x 180|M 36 x 200|M 36 x 220|M 36 x 230|M 36 x 240|M 36 x 250|M 36 x 260|M 36 x 270|M 36 x 280
Herramientas;"DADO HEX;"DADO HEX PARA ROSCAAR HANDY 5/16""-18 NC";N/A
Rondanas;"RONDANA PLANA;"RONDANA PLANA F436 NGRA 2""";N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 10 X 3/4;N/A
Pijas;PIJA FIJAD;PIJA FIJAD P/BROCA 10 X 1/2;N/A
Otros;36 CASQUILLO;36 CASQUILLO 8-1.25 X 1/2 NC;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-1/2-6 X 5-1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 2-4.5;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 3/4-10 X 5;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE SS46 1/8 X 3/8;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/4-10 X 3.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NF NEGRA EMP 7/16-20;N/A
Herramientas;"DADO LARGO;"DADO LARGO HEX HANDY;MANDO 3/8"" - M10"|MANDO 3/8"" - M11"|MANDO 3/8"" - M12"|MANDO 3/8"" - M13"|MANDO 3/8"" - M14"|MANDO 3/8"" - M15"|MANDO 3/8"" - M16"|MANDO 3/8"" - M17"|MANDO 3/8"" - M19"|MANDO 1/2"" - M10"|MANDO 1/2"" - M11"|MANDO 1/2"" - M12"|MANDO 1/2"" - M13"|MANDO 1/2"" - M14"|MANDO 1/2"" - M15"|MANDO 1/2"" - M16"|MANDO 1/2"" - M17"|MANDO 1/2"" - M18"|MANDO 1/2"" - M19"|MANDO 1/2"" - M20"|MANDO 1/2"" - M21"|MANDO 1/2"" - M22"|MANDO 1/2"" - M24"|MANDO 1/2"" - M27"|MANDO 1/2"" - M30"|MANDO 1/2"" - M32"
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/8 X 9;N/A
Otros;BOMBA GAS;BOMBA GAS NISSAN ALTIMA MAXIMA TSURU SENTRA 9303;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M10-1.50 X 16;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 3/4-10 X 8.1/2;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 3/8-16 X 4;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M6-1.00 X 50;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M12 X 35;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 10 X 1;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 6 X 1;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 5/16-18 X 1.1/4;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 12 X 1-1/4;N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ HONDA ACCORD 12 X 1.5;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA CUADRO CHICO 8 X 3;N/A
Otros;PERNO RANURADO;PERNO RANURADO 1/8 x 5/16;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL GR-8 TROP NC;3/8-16 X 2 nuevo|3/8-16 X 3 nuevo|5/8-11 X 2 nuevo|3/4-10 X 2 nuevo|3/4-10 X 3 nuevo|3/4-10 X 3-1/2 nuevo|1-8 X 6-1/2 nuevo
Otros;NUDO EMP;NUDO EMP 3/16;N/A
Otros;ROND PRESION;ROND PRESION NEGRA 3/4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/4-20 X 1/2;N/A
Pijas;PIJA CABEZA/PLANA;PIJA CABEZA/PLANA PH BROCA  EMP 8 X 1-1/4;N/A
Otros;PERNO RANURADO;PERNO RANURADO 5/32 x 7/8;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE 66LF 3/16 X 3/8;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE AS610LF 3/16 X 5/8;N/A
Tuercas;TUERCA MM;TUERCA MM FLANGE M6-1.00;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5/32-32 X 1;N/A
Varillas;"VARILLA ROSCA;"VARILLA ROSCA GR-2 3 METROS 1""-8";N/A
Otros;B.F. 7/16;B.F. 7/16 X 3 ROSCAA FINA-ESTANDAR;N/A
Tornillos;TORNILLO AUTORNILLOOSCANTE;TORNILLO AUTORNILLOOSCANTE PUNTA F 1/4-20 X 1;N/A
Otros;64 CASQUILLO;64 CASQUILLO 16-2.00 X 3/4 NF;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M16 X 80;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/16-18 X 2.1/2;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 1/4 X 1.1/4;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 7/16-14 X 1.1/4;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 12 PIES 1.3/8-8;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA EMP 12 X 3-1/2;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M16 X 60;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 1/2-13 X 2;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA EMP 10 X 3-1/2;N/A
Tuercas;TUERCA ACME;TUERCA ACME MAQUINADA 2;4 NUEVA
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 10 X 1.1/2;N/A
Herramientas;"Broca HSS;"Broca HSS M 35 Cobalto 5% 135°3/16""";N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" 7/16-14";N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 5/16 X 1.1/2;N/A
Tornillos;TORNILLO AUTORNILLOOSCANTE;TORNILLO AUTORNILLOOSCANTE PUNTA F 1/4-20 X 3;N/A
Tuercas;TUERCA GRIPCO;TUERCA GRIPCO TIPO FLANGE NEGRA M10-1.50;N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NC M30-3.50;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 1/2 X 2;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M10 X 45;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 3;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 3/8-16 X 3.3/4;N/A
Otros;PERNO RANURADO;PERNO RANURADO 5/32 x 1.1/4;N/A
Otros;PERNO RANURADO;PERNO RANURADO 5/32 X 1 1/2;N/A
Herramientas;"Broca HSS;"Broca HSS M 35 Cobalto 5% 135°5/16""";N/A
Otros;FERULA DE;FERULA DE CERAMICA P/PERNO NELSON;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 9/16-12;N/A
Otros;"ADAPUNTADOR HANDY;"ADAPUNTADOR HANDY;3/8"" X 1/4"""|3/8"" X 1/2"""|1/2"" X 3/8"""
Otros;Extrapesado Izquierdo;Extrapesado Izquierdo ESP;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL MM INOXIDABLE 304;M3 x 6|M3 x 8|M3 x 10|M3 x 12|M3 x 16|M3 x 20|M3 x 25|M3 x 30|M3 x 35|M3 x 40|M4 x 8|M4 x 10|M4 x 12|M4 x 16|M4 x 20|M4 x 25|M4 x 30|M4 x 35|M4 x 40|M5 x 10|M5 x 12|M5 x 16|M5 x 20|M5 x 25|M5 x 30|M5 x 35|M5 x 40|M5 x 45|M5 x 50|M5 x 60 NUEVO|M5 x 70 NUEVO|M5 x 80 NUEVO|M6 x 10|M6 x 12|M6 x 16|M6 x 20|M6 x 25|M6 x 30|M6 x 35|M6 x 40|M6 x 45|M6 x 50|M6 x 60|M6 x 70|M6 x 80|M6 x 90|M6 x 100|M8 x 12|M8 x 16|M8 x 20|M8 x 25|M8 x 30|M8 x 35|M8 x 40|M8 x 45|M8 x 50|M8 x 60|M8 x 70|M8 x 80|M8 x 90|M8 x 100|M10 x 16|M10 x 20|M10 x 25|M10 x 30|M10 x 35|M10 x 40|M10 x 45|M10 x 50|M10 x 60|M10 x 70|M10 x 80|M10 x 90|M10 x 100|M12 x 20|M12 x 25|M12 x 30|M12 x 35|M12 x 40|M12 x 45|M12 x 50|M12 x 60|M12 x 70|M12 x 80|M12 x 90|M12 x 100|M14 x 30|M14 x 40|M14 x 50|M14 x 60|M14 x 70|M14 x 80|M14 x 90|M14 x 100|M16 x 25|M16 x 30|M16 x 35|M16 x 40|M16 x 45|M16 x 50|M16 x 60|M16 x 70|M16 x 80|M16 x 90|M16 x 100|M20 x 30|M20 X 40|M20 X 50|M20 x 60|M20 x 70|M20 x 80|M20 X 90|M20 X 100|M24 X 50|M24 X 60|M24 X 70|M24 X 80|M24 X 90|M24 X 100|M30 X 60|M30 X 70|M30 X 80|M30 X 90|M30 X 100
Tornillos;CUERPO DE;CUERPO DE ACELERACIÓN CHEVROLET CORSA, TORNILLONADO 1.6, 1.8LTS;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 7/8-9;N/A
Otros;ABRAZADERA ROSCA;ABRAZADERA ROSCA LIGERA 3/8-16 X 2.1/2;N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" 5/16-18";N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 2.1/4-8;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-14 X 6;N/A
Otros;M 12;M 12 x 1.5 x 50.7mm, Ford Truck, Lincoln, Mercury, Del.;N/A
Birlos;Birlo de;Birlo de Rueda M22x1.5-6gx5.135 (130mm);N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 1/4 X 2.1/2;N/A
Otros;"7/16;"7/16;20 x 1.531"" Datsun Sedan 62-78, VAM-DATSUN-VW"
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 1-1/2-6;N/A
Otros;ANILLO RETENCION;ANILLO RETENCION EXT.;3/16|1/4|5/16|3/8|7/16|1/2|9/16|5/8|3/4|7/8|1.1/4|1.3/8|1.1/2|1.5/8|1.3/4|2.1/4|2.1/2
Otros;"Pinza de;"Pinza de Punta y Corte 8"" Handycraft";N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/16 X 2;N/A
Otros;SENSOR VELOCIDAD;SENSOR VELOCIDAD VOLKSWAGEN BEETLE, SEAT IBIZA (SC454);N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA EMP 6 X 3/4;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 1/8 X 1.1/2;N/A
Tuercas;TUERCA ACME;TUERCA ACME MAQUINADA 1-1/4-4 Hex 1.3/4 alt 1.3/4;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS 12 X 1;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/8 X 8;N/A
Otros;BOMBA GAS;BOMBA GAS MODULO TOYOTA SIENNA HILUX HIGHLANDER V6 0516;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA GALAXY 8 X 1/2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 1.1/4;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M8-1.25 X 1.5;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M12 X 45;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 3 METROS 3/4-10;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 3/8-16 X 3.1/2;N/A
Tuercas;TUERCA TINO;TUERCA TINO 4 PUNTAS NF 10-32 X 5/16;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 12 PIES 1.1/2-8;N/A
Otros;TAQUETE TX;TAQUETE TX TROP GALAXY C 5/16 T 1/4-20 X 3 LARGO;N/A
Otros;sensor cigüeñal;sensor cigüeñal Ford Explorer, Mustang, Ranger, 98-11 4 y 6Cil;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 14 X 1;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 1/2-13 X 2.3/4;N/A
Tuercas;TUERCA ACME;TUERCA ACME MAQUINADA 3/4-6;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO MAZDA 3, MAZDA CX-5, MAZDA 6, MIATA (06-10);N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 1.3/8;N/A
Otros;"3/4-16 x;"3/4-16 x 3.234"" Freightliner";N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA LATON 8 X 3/4;N/A
Otros;ARMELLA CERRADA;ARMELLA CERRADA 20 X 70;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA 1.3/8;N/A
Tuercas;TUERCA LARGA;TUERCA LARGA CROMADA M12-1.50;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 10 X 1.1/4;N/A
Tuercas;TUERCA GRIPCO;TUERCA GRIPCO TIPO FLANGE NEGRA 3/4-10;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 3 METROS 7/16-14;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 14 X 5;N/A
Otros;39 CASQUILLO;39 CASQUILLO 11-1.50 X 9/16 NC;N/A
Otros;TAQUETE TX;TAQUETE TX TROPICALIZADO PLUS 1/2-13 X 3.1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 6 X 3/4;N/A
Otros;Sensor map;Sensor map Ford Topaz, Ranger, F150, Econoline, Bronco, 72-96;N/A
Otros;Sensor map;Sensor map Dodge Neon, PT Cruiser, Stratus, Voyager, 01-06;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 1.1/2-6;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA 10 X 3;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 5/8-11 X 5;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 14 X 3;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 1/2-13 X 4.1/2;N/A
Otros;M22X1.5X130 MM;M22X1.5X130 MM Tractocamion Serie 6 y 7 Rin Aluminio;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 3/8-16 X 3/4;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 6 X 1.1/4;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 3/8-16 X 1.1/4;N/A
Tuercas;TUERCA COPLE;TUERCA COPLE 3/4-10 X 1 X 2.1/4;N/A
Otros;BOMBA GAS;BOMBA GAS FORD F150 F250 F350 ECONOLINE INCLINADA 8997;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 8 X 2.1/2;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 10 X 2;N/A
Otros;PERNO RANURADO;PERNO RANURADO 3/8 x 2;N/A
Otros;1/2- 20;1/2- 20 x 2.356 Bronco Explorer;N/A
Tuercas;TUERCA MM;TUERCA MM INS NYLON NF M18-1.50;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M12-1.75 X 1.5;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 3/8-16;N/A
Otros;ROND PRESION;ROND PRESION NEGRA 7/8;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/8-11 X 1.1/2;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 8 X 75;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 5/32 X 1;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 12 X 3/4;N/A
Otros;ROND MM;ROND MM PRESION NEGRA M24;N/A
Herramientas;"MACHUELO ACERO;"MACHUELO ACERO AL CARBON NPT;1/8""-27"|1/4""-18"|3/8""-18"|1/2""-14"
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 7/16-14 X 2;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 1-8 X 6;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NF NEGRA 7/8-14;N/A
Otros;15 CASQUILLO;15 CASQUILLO 8-1.25 X 7/16 NC CORTO;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA INTERIOR 7/8;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 10 X 2.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-8 X 10;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 3/8-16;N/A
Rondanas;"RONDANA PLANA;"RONDANA PLANA F436 NGRA 1""";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 3/8-16 X 5;N/A
