FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Otros;B.F. 1/2;B.F. 1/2 X 2 1/2 ROSCAA FINA-ESTANDAR;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA MM INOXIDABLE 304;M3|M4|M5|M6|M8|M10|M12|M14|M16|M18|M20|M24
Otros;42 CASQUILLO;42 CASQUILLO 7-1.00 X 3/8 NF;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 5/8-11;N/A
Otros;B.F. 5/8;B.F. 5/8 X 3 1/2 ROSCAA FINA-ESTANDAR;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M12 X 30;N/A
Otros;"ROND PRESION;"ROND PRESION EMP 1""";N/A
Rondanas;"RONDANA PLANA;"RONDANA PLANA F436 NGRA 3""";N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 7/16 X 1;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 5/8-11 X 7;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 3/8-16 X 1;N/A
Herramientas;Careta para;Careta para Soldador Plástica con ventanilla móvil;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/16-18 X 1.1/4;N/A
Otros;GRASERA TROP;GRASERA TROP 1/4-28 UNF RECTA;N/A
Otros;M12 x;M12 x 1.5 x 45mm, Pick up Toyota;N/A
Tuercas;TUERCA MARIPOSA;TUERCA MARIPOSA INOXIDABLE 304;8 - 32|10 - 24|1/4 - 20|5/16 - 18|3/8 - 16|1/2 - 13|5/8 - 11 NUEVO
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 3 METRO NC 7/8-9;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 1.1/4-7;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 3 METROS NC 1.1/2-6;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Chevrolet Blazer, Silverado, 96-07 6y 8 Cil;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 1/4 X 1.1/2;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NF 5/8-18;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA CHRYSLER SPIRIT, SHADOW (TX13);N/A
Otros;JGO. LLAVES;JGO. LLAVES HEX FRACC. HANDY CORTA 13 PZAS;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/4 X 8;N/A
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/ PLANA FINO;10-32 x 3/8|10-32 x 1/2|10-32 x 3/4|10-32 x 7/8|10-32 x 1|1/4-28 x 3/8|1/4-28 x 1/2|1/4-28 x 5/8|1/4-28 x 3/4|1/4-28 x 1|1/4-28 x 1.1/4|1/4-28 x 1.1/2|1/4-28 x 1.3/4|1/4-28 x 2|5/16-24 x 1/2|5/16-24 x 3/4|5/16-24 x 1|5/16-24 x 1.1/2|5/16-24 x 2|3/8-24 x 1/2|3/8-24 x 3/4|3/8-24 x 1|3/8-24 x 1.1/4|3/8-24 x 1.1/2|3/8-24 x 1.3/4|3/8-24 x 2|1/2-20 x 1|1/2-20 x 1.1/4|1/2-20 x 1.1/2|1/2-20 x 1.3/4|1/2-20 x 2|1/2-20 x 2.1/2
Varillas;VARILLA G-5;VARILLA G-5 ROSCA GALVANIZADA 5/8-11 X 1MT;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 12 X 1/2;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NF 1/4-28;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 8 X 2;N/A
Otros;sensor tps;sensor tps Nissan PickUp D21, 90-96;N/A
Tornillos;TORNILLON. CENTRO;TORNILLON. CENTRO DE MUELLE GR8 CABEZA ALTA -NEGRO 1/2-20 X 4;N/A
Otros;TAQUETE TX;TAQUETE TX TROPICALIZADO PLUS 5/8-11 X 3.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 1/2-13;N/A
Otros;57 CASQUILLO;57 CASQUILLO 5-0.80 X 7-1.00;N/A
Birlos;M8 x;M8 x 1.25x 45.8mm Birlo Manifull;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/8-11 X 5;N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 6 X 2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA SAE KG 1/8;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NC 1.1/4-7;N/A
Herramientas;"MANERAL PARA;"MANERAL PARA DADO HEXAGONAL HANDY;1"""
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-1/8-7 X 4-1/2;N/A
Otros;9/16 X;9/16 X 1 1/2 Universal Agricola;N/A
Otros;BOMBA GAS;BOMBA GAS MODULO DODGE RAM 1500 2500 PANAL V6 V8 0409;N/A
Otros;"1/2;"1/2;20 x 1.796"", Impala, C-10 1 ton. Chevrolet"|20 x 1.593"", D-100, Valiant, Dart, Le Baron 65-82"|20 x 1 29/32"", DuraNEGRO 4x4, Liberty,Chrysler 98-01"|20 x 1.765"", Dodge, Dakota,Rueda Del/Trasera."|20 x 1.812"" Ford Pick up ,F-100, Galaxie, 73-77, R. Del."|20 x 2"", Mustang I,II, Fairmont, Ford D4FZ-1107-A"|20 x 2.000"", Aerostar 4x4, Ford"
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/4-20 X 6;N/A
Tuercas;TUERCA MM;TUERCA MM REMACHABLE T. EUROPEO TROP. M8-1.25;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 12 X 1.1/2;N/A
Otros;Bobina ignicion;Bobina ignicion Ford Escape, Tribute, Mariner (FD502);N/A
Otros;MANERAL METALICO;MANERAL METALICO P/INSERTO 7/16;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS 8 X 1.1/2;N/A
Otros;97CASQUILLO 9-1.25;97CASQUILLO 9-1.25 x 1/2-13 NC;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE SS64 3/16 X 1/4;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG EMP 7/8;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M8-1.25 X 25;N/A
Tornillos;TORNILLO CABEZA/COCHE;TORNILLO CABEZA/COCHE INOXIDABLE 304;10-24 x 1/2|10-24 x 3/4|10-24 x 1|10-24 x 1-1/4|10-24 x 1-1/2|10-24 x 2|1/4-20 x 1/2|1/4-20 x 5/8|1/4-20 x 3/4|1/4-20 x 1|1/4-20 x 1-1/4|1/4-20 x 1-1/2|1/4-20 x 2|1/4-20 x 2-1/2|1/4-20 x 3|1/4-20 x 3-1/2|1/4-20 x 4|5/16-18 x 3/4|5/16-18 x 1|5/16-18 x 1-1/4|5/16-18 x 1-1/2|5/16-18 x 2|5/16-18 x 2-1/2|5/16-18 x 3|5/16-18 x 3-1/2|5/16-18 x 4|3/8-16 x 3/4|3/8-16 x 1|3/8-16 x 1-1/4|3/8-16 x 1-1/2|3/8-16 x 2|3/8-16 x 2-1/2|3/8-16 x 3|3/8-16 x 3-1/2|3/8-16 x 4|3/8-16 x 4-1/2|3/8-16 x 5|1/2-13 x 1|1/2-13 x 1-1/4|1/2-13 x 1-1/2|1/2-13 x 2|1/2-13 x 2-1/2|1/2-13 x 3|1/2-13 x 3-1/2|1/2-13 x 4
Otros;1 1/8-16;1 1/8-16 R.Del Dina 800 Dina Kenworth Extrapesado;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Chevrolet TrailBlazer, Silverado, Escalade 01-07;N/A
Tuercas;TUERCA ACME;TUERCA ACME MAQUINADA 2-1/2-4;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/4-10 X 4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-1/4-7 X 4-1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5/32-32 X 3;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 10 X 2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 1.5/8;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA EMP 14 X 1 GALAXY;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 3 METRO NC 3/4-10;N/A
Otros;ROND PRESION;ROND PRESION NEGRA EMP 3/16;N/A
Otros;PERNO RANURADO;PERNO RANURADO 5/32 x 1.1/8;N/A
Tornillos;TORNILLO CABEZA/GOTA;TORNILLO CABEZA/GOTA PHILLIPSLIPS INOXIDABLE 304;3/8-16 x 1|3/8-16 x 1-1/4|3/8-16 x 1-1/2|3/8-16 x 2|3/8-16 x 2-1/2|3/8-16 x 3|3/8-16 x 4
Otros;"CINCHO;"CINCHO;4"" COLOR NATURAL EMP CABEZA/100 PZA"|4"" COLOR NEGRO EMP CABEZA/100 PZA"|6"" COLOR NATURAL EMP CABEZA/100 PZA"|6"" COLOR NEGRO EMP CABEZA/100 PZA"|8"" COLOR NATURAL EMP CABEZA/100 PZA"|8"" COLOR NEGRO EMP CABEZA/100 PZA"|10"" COLOR NATURAL EMP CABEZA/100 PZA"|10"" COLOR NEGRO EMP CABEZA/100 PZA"|12"" COLOR NATURAL EMP CABEZA/100 PZA"|12"" COLOR NEGRO EMP CABEZA/100 PZA"|14"" COLOR NATURAL EMP CABEZA/100 PZA"|14"" COLOR NEGRO EMP CABEZA/100 PZA"|17"" COLOR NATURAL EMP CABEZA/100 PZA"|17"" COLOR NEGRO EMP CABEZA/100 PZA"
Herramientas;MACHUELO P/INSERTO;MACHUELO P/INSERTO M2 HSS 5/16-18;N/A
